Langue;Sexe;Date de naissance;Code postal;Ville;Pays
fr;M;05/11/1938;1180 ;BRUXELLES 18;Belgium
fr;M;28/08/2012;1630;Linkebeek;Belgium
fr;M;14/11/2002;1180;Bruxelles;Belgium
fr;M;22/06/2014;1180;UCCLE;Belgium
fr;M;04/01/2017;1180;Uccle;Belgium
fr;M;23/11/2013;1080;Uccle;Belgium
fr;M;03/05/1981;1030;Schaerbeek;Belgium
fr;M;17/01/2020;1501;Buizingen;Belgium
fr;M;02/10/1976;1050;Bruxelles;Belgium
fr;F;18/02/2009;1860;Meise;Belgium
fr;M;30/09/1978;1860;Meise;Belgium
fr;M;31/07/2011;1860;Meise;Belgium
fr;F;15/01/1985;1180;Bruxelles;Belgium
fr;F;20/11/2014;1190;Forest;Belgium
fr;F;13/08/2019;1620;Drogenbos;Belgium
fr;F;18/11/2016;1620;Drogenbos;Belgium
fr;M;12/12/2020;1600;Sint Pieters Leeuw;Belgium
fr;F;04/11/2015;1600;Sint Pieters Leeuw;Belgium
fr;M;20/07/1980;1180;Uccle;Belgium
fr;M;02/10/1979;1180;Uccle;Belgium
fr;M;07/08/2014;1180;UCCLE;Belgium
fr;F;28/10/2010;1180;Bruxelles;Belgium
fr;M;31/10/1982;1180;Bruxelles;Belgium
fr;F;24/07/2011;1180;Uccle;Belgium
fr;F;20/01/2015;1650;Beersel;Belgium
fr;M;31/01/2013;1650;Beersel;Belgium
fr;M;16/06/2004;1190;Uccle;Belgium
fr;M;01/04/2012;1180;Brussels;Belgium
fr;F;24/04/2009;1180;Brussels;Belgium
fr;M;19/11/2001;1700;Dilbeek;Belgium
fr;F;25/09/2018;1190;Forest;Belgium
fr;F;09/04/2020;1190;Forest;Belgium
fr;F;07/08/2016;1190;Forest;Belgium
fr;F;26/11/1997;1650;Beersel;Belgium
fr;F;22/08/2001;1190;Forest;Belgium
fr;M;01/06/2015;1630;Linkebeek;Belgium
fr;M;05/08/2013;1650;Beersel;Belgium
fr;M;18/05/2015;1650;Beersel;Belgium
fr;F;21/11/2018;1652;Beersel;Belgium
fr;M;07/06/2017;1652;Beersel;Belgium
fr;F;16/01/1976;1650;Beersel;Belgium
fr;F;08/10/2007;1070;Bruxelles;Belgium
fr;F;25/07/1996;1050;Ixelles;Belgium
fr;M;30/03/2010;1180;Uccle;Belgium
fr;M;22/12/2016;1180;Uccle;Belgium
fr;M;06/06/2013;1180;Uccle;Belgium
fr;M;27/02/2017;1640;Rhode Saint Genèse;Belgium
fr;M;08/08/2014;1640;Rhode Saint Genèse;Belgium
fr;M;27/07/2020;1180;Bruxelles;Belgium
fr;F;26/06/2012;1180;Uccle;Belgium
fr;F;18/02/2021;1190;BRUSSEL;Belgium
fr;F;14/09/1978;1440;Braine le Château;Belgium
fr;M;07/05/2020;1190;Forest;Belgium
fr;M;16/11/1973;1180;Uccle;Belgium
fr;F;27/05/1998;1040;ETTERBEEK;Belgium
fr;M;28/03/1989;1050;Bruxelles;Belgium
fr;F;04/10/1983;1410;Waterloo;Belgium
fr;M;30/05/2013;1601;Ruisbroek;Belgium
fr;M;25/04/2003;1190;Forest;Belgium
fr;F;08/10/2005;1190;Forest;Belgium
fr;F;11/07/2008;1180;Uccle;Belgium
fr;F;19/04/2010;1180;Uccle;Belgium
fr;F;07/12/2017;1190;forest;Belgium
fr;M;13/06/2021;1190;Forest;Belgium
fr;F;19/09/2019;1190;Bruxelles;Belgium
fr;F;11/03/2013;1180;Bruxelles;Belgium
fr;M;11/05/2011;1180;Bruxelles;Belgium
fr;M;19/10/1989;1740;Wambeek;Belgium
fr;M;18/08/2006;1190;Forest;Belgium
fr;F;18/02/2016;1180;Uccle;Belgium
fr;M;27/05/1997;1180;UCCLE;Belgium
fr;F;25/04/1991;1190;FOREST;Belgium
fr;M;27/05/2015;1000;Bruxelles;Belgium
fr;M;09/12/2019;1180;Uccle;Belgium
fr;F;08/02/2011;1190;Forest;Belgium
fr;M;24/07/1980;1200;Bruxelles;Belgium
fr;F;10/11/1978;1860;Meise;Belgium
fr;M;27/04/1965;1190;BRUXELLES 19;Belgium
fr;M;02/01/2009;1640;Rhode-Saint-Genèse;Belgium
fr;M;07/01/1996;1040;Etterbeek;Belgium
fr;M;26/05/2016;1190;Forest;Belgium
fr;F;28/05/2015;1630;Linkebeek;Belgium
fr;M;19/04/2012;1630;Linkebeek;Belgium
fr;F;17/07/2015;1541;Herne;Belgium
fr;M;28/12/2013;1541;Herne;Belgium
fr;F;18/03/1993;1701;Itterbeek;Belgium
fr;M;05/08/2010;1180;Bruxelles;Belgium
fr;F;30/09/1977;1180;Uccle;Belgium
fr;F;16/08/2010;1180;Bruxelles;Belgium
fr;F;15/11/2012;1190;Bruxelles;Belgium
fr;F;04/02/1978;1702;Groot-Bijgaarden;Belgium
fr;F;16/10/2020;1180;Uccle;Belgium
fr;F;11/03/2015;7850;Enghien;Belgium
fr;M;16/12/2018;1653;Dworp;Belgium
fr;F;06/03/2008;1190;Forest;Belgium
fr;M;08/06/2012;1653;Beersel;Belgium
fr;M;14/05/1980;1653;Beersel;Belgium
fr;M;15/12/2009;1653;Beersel;Belgium
fr;F;03/07/1982;1780;Wemmel;Belgium
fr;M;27/07/1975;1060;Saint-Gilles;Belgium
fr;F;29/06/2015;1060;Saint-Gilles;Belgium
fr;F;05/04/1996;1180;Bruxelles;Belgium
fr;F;15/10/1982;1380;PLANCENOIT;Belgium
fr;F;15/08/2016;1190;Bruxelles;Belgium
fr;F;02/08/2016;1601;Ruisbroek;Belgium
fr;F;23/03/1973;1070;Bruxelles;Belgium
fr;M;03/05/1978;1190;Forest;Belgium
fr;M;21/05/2002;1650;Beersel;Belgium
fr;M;01/11/2015;1651;Lot;Belgium
fr;M;09/06/2010;1701;Dilbeek;Belgium
fr;M;13/12/1988;1602;Sint-Pieters-Leeuw;Belgium
fr;F;03/08/2020;1190;Vorst;Belgium
fr;M;24/03/2015;1180;Bruxelles;Belgium
fr;M;17/04/1968;1650;BEERSEL;Belgium
fr;F;06/09/2008;1650;BEERSEL;Belgium
fr;F;10/07/2010;1180;Uccle;Belgium
fr;F;16/02/2010;1500;Halle;Belgium
fr;F;18/05/1994;1180;Bruxelles;Belgium
fr;F;18/12/2017;1860;Meise;Belgium
fr;M;26/10/2013;1860;Meise;Belgium
fr;M;29/06/2014;1650;Beersel;Belgium
fr;M;12/02/2013;1650;Beersel;Belgium
fr;M;26/12/1977;1380;LASNE;Belgium
fr;M;07/08/1980;1050;Bruxelles;Belgium
fr;M;11/01/2017;1180;UCCLE;Belgium
fr;M;07/11/2014;1640;Rhode St Genese;Belgium
fr;M;14/06/2012;1640;Rhode St Genese;Belgium
fr;F;20/04/2012;1190;Forest;Belgium
fr;M;28/03/2019;1180;Uccle;Belgium
fr;F;12/04/2010;1640;rhode-saint-genese;Belgium
fr;M;30/06/2012;1640;rhode-saint-genese;Belgium
fr;M;14/12/2012;1620;drogenbos;Belgium
fr;F;07/09/2016;1620;drogenbos;Belgium
fr;M;11/06/2007;1190;BRUXELLES 19;Belgium
fr;M;07/12/2003;1190;BRUXELLES 19;Belgium
fr;F;14/10/1970;1650;Beersel;Belgium
fr;M;07/09/1976;1020;Bruxelles;Belgium
fr;M;31/05/1999;1180;Bruxelles;Belgium
